movieId,genres
107,adventure animation children comedy fantasy
94,action crime thriller
987,comedy romance
155,crime drama
817,drama romance
374,mystery sci-fi thriller
47,crime mystery thriller
985,drama romance
92,action drama war
149,crime drama thriller
786,adventure drama imax
966,action crime thriller
243,drama romance
847,comedy
695,comedy drama
602,drama
573,drama
547,crime drama
8,comedy crime drama thriller
0,crime drama
810,drama
12,comedy drama romance war
977,adventure children romance
48,adventure animation children drama musical imax
641,drama
511,crime drama
649,thriller
262,drama
146,action adventure sci-fi thriller
825,drama
824,drama
675,drama romance
3,drama war
877,drama
217,action sci-fi thriller
514,animation children fantasy musical
618,action drama western
486,crime thriller
778,children comedy
372,adventure animation children comedy musical
28,action sci-fi
368,adventure drama western
27,crime horror thriller
970,animation children drama fantasy musical
385,animation children fantasy musical romance imax
535,adventure western
231,comedy crime drama thriller
779,crime drama mystery thriller
296,comedy drama war
74,comedy war
239,comedy crime drama
1,crime drama
504,comedy drama romance
118,comedy musical romance
116,drama mystery romance thriller
55,mystery thriller
282,comedy romance
688,drama thriller
120,action adventure mystery romance thriller
123,comedy drama romance
172,comedy crime
517,comedy crime mystery romance thriller
53,drama romance
413,film-noir mystery
696,comedy drama musical romance
403,comedy drama romance
235,adventure children fantasy musical
167,drama romance war
83,drama film-noir romance
117,drama mystery
98,adventure drama sci-fi
182,drama
276,drama mystery romance thriller
527,film-noir romance thriller
565,action adventure romance
564,crime film-noir mystery
181,comedy drama war
708,drama
575,comedy crime
727,comedy romance
35,children drama fantasy romance
304,drama
717,comedy romance
687,horror sci-fi thriller
879,adventure comedy romance war
559,drama
664,children comedy fantasy musical
249,musical romance
154,action crime thriller
426,drama
611,children comedy fantasy musical
736,drama horror thriller
856,crime drama
178,crime mystery thriller
100,crime mystery thriller
241,drama war
834,drama
494,children drama sci-fi
983,drama
534,drama
333,drama mystery
169,adventure comedy fantasy
82,drama war
20,drama
22,action adventure sci-fi
353,action adventure comedy fantasy romance
63,action adventure
512,fantasy sci-fi
68,action adventure horror sci-fi
4,drama
111,adventure drama war
101,crime drama sci-fi thriller
99,drama
71,action drama war
54,action drama western
114,action adventure sci-fi
272,film-noir mystery thriller
19,crime drama
43,horror sci-fi
175,drama war
52,crime horror
490,action comedy musical
6,crime drama
105,drama war
72,drama
870,drama romance
106,crime drama
254,drama
396,comedy romance
690,drama
259,drama mystery sci-fi
122,comedy crime
541,comedy drama romance
219,action sci-fi thriller
678,drama war
703,comedy drama romance
859,crime drama film-noir thriller
234,drama
379,comedy drama romance
430,crime film-noir thriller
274,adventure drama war
166,crime film-noir mystery thriller
702,drama sci-fi thriller
193,action adventure drama western
750,comedy musical war
67,horror
220,adventure drama
843,action comedy fantasy horror
170,action adventure drama war
248,drama war
373,comedy fantasy romance
168,drama western
544,crime thriller war
560,comedy mystery thriller
39,adventure comedy sci-fi
829,comedy crime drama
539,drama war
885,comedy drama film-noir
386,action adventure animation sci-fi
253,drama
376,comedy fantasy
896,comedy drama
85,comedy drama war
874,animation children fantasy musical
412,drama western
545,crime film-noir mystery
265,action adventure drama
508,comedy
144,action adventure
531,comedy drama
407,drama
410,drama musical
692,drama war
722,adventure drama
394,action western
256,drama romance
832,comedy romance
981,horror thriller
894,thriller
526,horror
705,drama mystery
997,drama romance
398,drama
848,action adventure sci-fi thriller
211,action horror
792,action romance war western
876,crime drama romance
805,crime drama
812,drama thriller
940,action adventure comedy sci-fi
161,crime film-noir mystery thriller
784,drama mystery thriller
669,drama sci-fi thriller
487,drama
148,comedy drama sci-fi
97,drama romance
473,drama romance
223,comedy crime
821,comedy drama romance
961,adventure animation children comedy drama musical romance
287,action drama war
741,comedy romance
578,drama
284,drama war
982,drama romance war
273,crime drama
917,drama romance
899,drama
497,drama mystery
653,drama
836,action crime thriller
233,drama
674,drama
841,drama
871,drama
365,drama
610,comedy drama
798,horror
210,horror mystery
959,action comedy crime drama
762,action adventure children comedy fantasy
119,drama sci-fi
613,adventure comedy sci-fi
26,action drama war
922,comedy drama fantasy romance
437,film-noir
525,drama romance war
785,drama mystery thriller
924,children comedy musical
425,drama
358,action adventure
357,drama horror thriller
551,crime drama thriller
552,crime drama film-noir thriller
634,action crime drama
728,crime drama thriller
914,drama mystery thriller
777,crime drama thriller
153,action horror sci-fi thriller
507,drama fantasy romance
952,comedy
171,drama
846,comedy drama
49,crime drama
536,action adventure fantasy horror
972,comedy drama
803,action adventure drama thriller
306,crime
944,action drama war
964,horror mystery sci-fi
697,drama
945,comedy crime
375,action drama sci-fi
21,action sci-fi thriller
570,drama film-noir
719,drama horror sci-fi
888,horror sci-fi thriller
619,action comedy sci-fi
530,crime film-noir
513,action drama romance war
252,drama romance war
818,drama
266,adventure animation children drama sci-fi
157,drama horror mystery
773,comedy
538,children comedy
95,drama romance
783,adventure drama thriller
449,action adventure drama
636,comedy
439,drama romance
699,drama
579,adventure comedy romance
861,action drama war
840,action adventure thriller
10,action crime drama thriller
418,adventure drama
419,adventure drama
694,drama fantasy musical
745,comedy crime drama
939,action crime drama sci-fi thriller
811,adventure animation children comedy crime fantasy mystery
837,comedy drama fantasy
676,drama thriller
860,action drama war
851,drama mystery
549,comedy fantasy
563,drama war
290,drama
458,comedy drama romance
657,drama mystery
510,adventure animation children comedy fantasy
29,crime drama
399,drama
367,drama
447,drama war
391,crime drama
704,animation children
943,drama
849,drama
366,drama
800,action crime drama thriller
337,comedy
57,comedy drama romance
135,comedy drama
909,crime drama film-noir thriller
384,crime drama
739,crime film-noir
533,drama western
993,action crime
360,drama mystery thriller
387,drama
128,crime drama film-noir
707,drama
58,comedy drama romance
400,drama
300,drama
200,adventure drama
960,adventure drama western
646,drama horror thriller
404,drama mystery sci-fi
264,comedy drama
700,action adventure drama thriller western
629,action sci-fi thriller
932,crime horror mystery thriller
